TimeStamp,2016,2017,2018,2019,2020,2021
01/01/2002 00:00,0,0,0,0,0,0
01/01/2002 01:00,0,0,0,0,0,0
01/01/2002 02:00,0,0,0,0,0,0
01/01/2002 03:00,0,0,0,0,0,0
01/01/2002 04:00,0,0,0,0,0,0
01/01/2002 05:00,0,0,0,0,0,0
01/01/2002 06:00,0,0,0,0,0,0
01/01/2002 07:00,0,0,4,11,2,10
01/01/2002 08:00,143,142,61,151,46,140
01/01/2002 09:00,301,302,213,310,256,264
01/01/2002 10:00,425,429,309,435,388,400
01/01/2002 11:00,499,503,390,503,368,356
01/01/2002 12:00,512,515,397,518,368,404
01/01/2002 13:00,466,466,336,469,253,324
01/01/2002 14:00,363,362,280,354,60,270
01/01/2002 15:00,218,217,144,191,77,199
01/01/2002 16:00,57,57,34,50,21,46
01/01/2002 17:00,0,0,0,0,0,0
01/01/2002 18:00,0,0,0,0,0,0
01/01/2002 19:00,0,0,0,0,0,0
01/01/2002 20:00,0,0,0,0,0,0
01/01/2002 21:00,0,0,0,0,0,0
01/01/2002 22:00,0,0,0,0,0,0
01/01/2002 23:00,0,0,0,0,0,0
02/01/2002 00:00,0,0,0,0,0,0
02/01/2002 01:00,0,0,0,0,0,0
02/01/2002 02:00,0,0,0,0,0,0
02/01/2002 03:00,0,0,0,0,0,0
02/01/2002 04:00,0,0,0,0,0,0
02/01/2002 05:00,0,0,0,0,0,0
02/01/2002 06:00,0,0,0,0,0,0
02/01/2002 07:00,0,0,3,10,6,3
02/01/2002 08:00,39,60,77,144,120,30
02/01/2002 09:00,107,72,143,299,262,64
02/01/2002 10:00,251,259,212,422,345,162
02/01/2002 11:00,309,413,130,494,482,164
02/01/2002 12:00,296,308,100,508,505,79
02/01/2002 13:00,123,305,73,462,458,84
02/01/2002 14:00,117,170,55,361,360,50
02/01/2002 15:00,41,211,38,218,217,46
02/01/2002 16:00,19,31,31,61,61,19
02/01/2002 17:00,0,0,0,0,0,0
02/01/2002 18:00,0,0,0,0,0,0
02/01/2002 19:00,0,0,0,0,0,0
02/01/2002 20:00,0,0,0,0,0,0
02/01/2002 21:00,0,0,0,0,0,0
02/01/2002 22:00,0,0,0,0,0,0
02/01/2002 23:00,0,0,0,0,0,0
03/01/2002 00:00,0,0,0,0,0,0
03/01/2002 01:00,0,0,0,0,0,0
03/01/2002 02:00,0,0,0,0,0,0
03/01/2002 03:00,0,0,0,0,0,0
03/01/2002 04:00,0,0,0,0,0,0
03/01/2002 05:00,0,0,0,0,0,0
03/01/2002 06:00,0,0,0,0,0,0
03/01/2002 07:00,0,0,2,10,7,6
03/01/2002 08:00,52,34,47,137,107,56
03/01/2002 09:00,60,60,43,298,225,149
03/01/2002 10:00,87,165,36,422,351,253
03/01/2002 11:00,239,113,16,495,498,320
03/01/2002 12:00,277,30,18,389,452,326
03/01/2002 13:00,356,7,25,356,442,187
03/01/2002 14:00,175,25,16,332,270,218
03/01/2002 15:00,66,24,26,179,185,97
03/01/2002 16:00,20,13,20,32,63,26
03/01/2002 17:00,0,0,0,0,0,0
03/01/2002 18:00,0,0,0,0,0,0
03/01/2002 19:00,0,0,0,0,0,0
03/01/2002 20:00,0,0,0,0,0,0
03/01/2002 21:00,0,0,0,0,0,0
03/01/2002 22:00,0,0,0,0,0,0
03/01/2002 23:00,0,0,0,0,0,0
04/01/2002 00:00,0,0,0,0,0,0
04/01/2002 01:00,0,0,0,0,0,0
04/01/2002 02:00,0,0,0,0,0,0
04/01/2002 03:00,0,0,0,0,0,0
04/01/2002 04:00,0,0,0,0,0,0
04/01/2002 05:00,0,0,0,0,0,0
04/01/2002 06:00,0,0,0,0,0,0
04/01/2002 07:00,0,0,3,5,4,2
04/01/2002 08:00,137,37,70,93,143,31
04/01/2002 09:00,51,75,124,244,302,22
04/01/2002 10:00,330,62,137,353,426,114
04/01/2002 11:00,160,108,155,483,283,116
04/01/2002 12:00,204,23,160,496,516,100
04/01/2002 13:00,88,80,91,457,380,344
04/01/2002 14:00,16,91,236,355,308,362
04/01/2002 15:00,120,45,208,220,192,192
04/01/2002 16:00,17,14,59,63,39,65
04/01/2002 17:00,0,0,0,0,0,0
04/01/2002 18:00,0,0,0,0,0,0
04/01/2002 19:00,0,0,0,0,0,0
04/01/2002 20:00,0,0,0,0,0,0
04/01/2002 21:00,0,0,0,0,0,0
04/01/2002 22:00,0,0,0,0,0,0
04/01/2002 23:00,0,0,0,0,0,0
05/01/2002 00:00,0,0,0,0,0,0
05/01/2002 01:00,0,0,0,0,0,0
05/01/2002 02:00,0,0,0,0,0,0
05/01/2002 03:00,0,0,0,0,0,0
05/01/2002 04:00,0,0,0,0,0,0
05/01/2002 05:00,0,0,0,0,0,0
05/01/2002 06:00,0,0,0,0,0,0
05/01/2002 07:00,0,0,2,3,9,8
05/01/2002 08:00,46,146,50,41,143,142
05/01/2002 09:00,102,308,51,70,298,112
05/01/2002 10:00,81,434,9,62,420,262
05/01/2002 11:00,77,509,44,142,491,490
05/01/2002 12:00,8,525,50,123,505,511
05/01/2002 13:00,50,481,116,95,459,367
05/01/2002 14:00,305,379,103,118,360,312
05/01/2002 15:00,213,233,41,108,218,224
05/01/2002 16:00,60,71,21,31,64,67
05/01/2002 17:00,0,0,0,0,0,0
05/01/2002 18:00,0,0,0,0,0,0
05/01/2002 19:00,0,0,0,0,0,0
05/01/2002 20:00,0,0,0,0,0,0
05/01/2002 21:00,0,0,0,0,0,0
05/01/2002 22:00,0,0,0,0,0,0
05/01/2002 23:00,0,0,0,0,0,0
06/01/2002 00:00,0,0,0,0,0,0
06/01/2002 01:00,0,0,0,0,0,0
06/01/2002 02:00,0,0,0,0,0,0
06/01/2002 03:00,0,0,0,0,0,0
06/01/2002 04:00,0,0,0,0,0,0
06/01/2002 05:00,0,0,0,0,0,0
06/01/2002 06:00,0,0,0,0,0,0
06/01/2002 07:00,0,0,3,2,10,6
06/01/2002 08:00,34,146,142,21,144,84
06/01/2002 09:00,152,305,298,35,300,159
06/01/2002 10:00,71,429,420,35,423,319
06/01/2002 11:00,309,501,496,42,495,200
06/01/2002 12:00,318,514,513,54,511,47
06/01/2002 13:00,286,463,469,15,467,395
06/01/2002 14:00,201,284,339,6,369,362
06/01/2002 15:00,51,108,228,38,227,206
06/01/2002 16:00,17,26,69,20,70,66
06/01/2002 17:00,0,0,0,0,0,0
06/01/2002 18:00,0,0,0,0,0,0
06/01/2002 19:00,0,0,0,0,0,0
06/01/2002 20:00,0,0,0,0,0,0
06/01/2002 21:00,0,0,0,0,0,0
06/01/2002 22:00,0,0,0,0,0,0
06/01/2002 23:00,0,0,0,0,0,0
07/01/2002 00:00,0,0,0,0,0,0
07/01/2002 01:00,0,0,0,0,0,0
07/01/2002 02:00,0,0,0,0,0,0
07/01/2002 03:00,0,0,0,0,0,0
07/01/2002 04:00,0,0,0,0,0,0
07/01/2002 05:00,0,0,0,0,0,0
07/01/2002 06:00,0,0,0,0,0,0
07/01/2002 07:00,0,0,4,2,9,4
07/01/2002 08:00,67,47,48,64,138,89
07/01/2002 09:00,287,89,57,162,274,293
07/01/2002 10:00,417,147,72,277,422,414
07/01/2002 11:00,492,238,92,281,435,474
07/01/2002 12:00,506,212,60,327,487,414
