TimeStamp,2016,2017,2018,2019,2020,2021
01/01/2002 00:00,8.8,8.36,4.23,15.65,3.82,1.94
01/01/2002 01:00,10.03,7.3,2.34,15.72,3.17,1.9
01/01/2002 02:00,10.31,10.31,0.94,16.04,5.46,1.75
01/01/2002 03:00,10.07,10.77,1.76,16.03,1.22,3.85
01/01/2002 04:00,9.74,11.53,2.9,16.05,2.05,3.2
01/01/2002 05:00,9.07,12.04,2.7,16.96,2.29,3.08
01/01/2002 06:00,8.66,11.69,3.08,14.34,0.63,2.76
01/01/2002 07:00,7.98,12.55,3.02,13.35,3.77,1.48
01/01/2002 08:00,8.01,11.99,2.27,11.48,0.49,1.34
01/01/2002 09:00,7.75,9.82,2.31,9.06,2.59,1.08
01/01/2002 10:00,8.96,9.02,2.44,9.26,2.59,2.01
01/01/2002 11:00,9.53,10.19,3.07,4.96,1.82,2.82
01/01/2002 12:00,7.77,13.65,3.28,6.05,10.17,3.05
01/01/2002 13:00,6.59,14.46,1.93,6.56,11.94,3.29
01/01/2002 14:00,6.4,15.28,1.36,6.04,13.85,4
01/01/2002 15:00,6.75,12.78,2.38,5.26,12.19,5.26
01/01/2002 16:00,6.9,11.94,4.45,2.61,12.11,3.68
01/01/2002 17:00,6.61,11.12,6.88,1.92,13.32,3.93
01/01/2002 18:00,6.21,9.2,6.35,2.61,13,4.27
01/01/2002 19:00,6,6.99,4.49,5.15,11.74,2.19
01/01/2002 20:00,5,7.15,3.22,3.4,7.2,2.87
01/01/2002 21:00,5.03,8.6,2.62,1.83,6.92,2.38
01/01/2002 22:00,5.53,6.07,3.39,1.3,6.27,3.57
01/01/2002 23:00,5.97,4,4.11,4.07,9.21,3.92
02/01/2002 00:00,6.15,4.01,4.91,3.88,9.91,3.21
02/01/2002 01:00,5.78,4.47,5.96,0.77,10.44,1.81
02/01/2002 02:00,6.28,3.36,6,0.65,9.16,0.86
02/01/2002 03:00,5.8,4.13,4.03,1.61,8.93,0.6
02/01/2002 04:00,6.3,2.73,4.45,3.22,8.83,2.43
